Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu,BaseScore,x1,x2,x3,x4,x6,x7,x12,Score
1,3,4.0,0,627.19,627.19,3,0.0,4,7,4,0,62.0,1000.0,522.0,5.0,9.0,0.0,9.0,37.0,-1.0,24.0,605.0
1,6,10.0,0,2229.66,2229.66,3,0.0,4,7,4,1,78.0,2700.0,522.0,5.0,-3.0,0.0,-18.0,37.0,-1.0,43.0,585.0
1,8,10.0,0,809.75,809.75,3,0.0,2,6,0,1,52.0,4000.0,522.0,18.0,-3.0,0.0,-18.0,37.0,-1.0,15.0,570.0
1,2,5.0,0,219.99,219.99,1,0.0,2,5,1,0,40.0,905.0,522.0,5.0,-3.0,0.0,13.0,-0.0,-1.0,7.0,543.0
1,2,5.0,0,199.99,199.99,3,0.0,4,7,4,0,76.0,2000.0,522.0,5.0,-3.0,0.0,13.0,37.0,-1.0,43.0,616.0
1,8,4.0,0,785.55,785.55,2,0.0,2,6,3,1,55.0,5000.0,522.0,18.0,9.0,0.0,-18.0,-0.0,-1.0,15.0,545.0
1,2,3.0,0,449.99,449.99,5,0.0,2,2,0,1,47.0,3000.0,522.0,5.0,13.0,0.0,12.0,37.0,-1.0,7.0,595.0
1,2,20.0,0,1299.98,1299.98,3,0.0,4,7,1,0,65.0,1000.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,24.0,560.0
1,2,4.0,0,963.99,963.99,3,2.0,2,3,4,1,52.0,4500.0,522.0,5.0,9.0,0.0,-18.0,37.0,8.0,15.0,578.0
1,8,4.0,1,999.0,3000.0,3,2.0,2,3,0,1,36.0,1900.0,522.0,18.0,9.0,-7.0,-18.0,37.0,8.0,7.0,576.0
0,8,4.0,0,299.9,299.9,3,1.0,1,5,1,0,34.0,800.0,522.0,18.0,9.0,0.0,13.0,37.0,8.0,-7.0,600.0
1,2,12.0,0,949.98,949.98,4,2.0,2,2,0,1,52.0,5000.0,522.0,5.0,-9.0,0.0,-18.0,37.0,8.0,15.0,560.0
1,6,10.0,0,1630.43,1630.43,2,0.0,2,3,4,0,50.0,1300.0,522.0,5.0,-3.0,0.0,-18.0,-0.0,-1.0,15.0,520.0
1,8,4.0,1,691.97,3000.0,6,0.0,4,7,4,0,71.0,1300.0,522.0,18.0,9.0,-7.0,9.0,37.0,-1.0,43.0,630.0
1,2,15.0,1,1062.98,2000.0,0,0.0,2,5,1,0,23.0,1100.0,522.0,5.0,-9.0,-7.0,-18.0,-0.0,-1.0,-25.0,467.0
1,8,4.0,1,210.58,3000.0,3,0.0,4,7,4,0,69.0,2800.0,522.0,18.0,9.0,-7.0,13.0,37.0,-1.0,43.0,634.0
1,3,4.0,0,114.99,114.99,2,3.0,2,6,1,1,40.0,2087.0,522.0,5.0,9.0,0.0,13.0,-0.0,8.0,7.0,564.0
1,8,3.0,1,295.78,3000.0,3,0.0,4,8,4,0,64.0,0.0,522.0,18.0,13.0,-7.0,13.0,37.0,-1.0,24.0,619.0
1,2,12.0,0,518.98,518.98,3,0.0,4,7,4,0,55.0,1600.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,15.0,578.0
1,2,3.0,0,199.99,199.99,0,0.0,2,3,3,1,21.0,1200.0,522.0,5.0,13.0,0.0,13.0,-0.0,-1.0,-25.0,527.0
1,8,30.0,1,0.0,1000.0,2,0.0,2,6,1,0,22.0,1200.0,522.0,18.0,-9.0,-7.0,13.0,-0.0,-1.0,-25.0,511.0
1,8,4.0,0,115.77,115.77,0,0.0,2,6,3,0,23.0,1100.0,522.0,18.0,9.0,0.0,13.0,-0.0,-1.0,-25.0,536.0
1,2,12.0,0,710.68,710.68,2,2.0,2,6,1,0,30.0,1200.0,522.0,5.0,-9.0,0.0,9.0,-0.0,8.0,-7.0,528.0
1,8,4.0,1,329.9,3000.0,3,0.0,4,7,4,1,65.0,2000.0,522.0,18.0,9.0,-7.0,12.0,37.0,-1.0,24.0,614.0
1,8,10.0,0,580.97,580.97,3,0.0,4,7,1,1,76.0,1350.0,522.0,18.0,-3.0,0.0,9.0,37.0,-1.0,43.0,625.0
1,6,20.0,0,2000.0,2000.0,0,0.0,2,3,1,1,47.0,2200.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,7.0,506.0
1,2,20.0,1,533.99,3000.0,3,0.0,4,7,4,0,61.0,1450.0,522.0,5.0,-9.0,-7.0,9.0,37.0,-1.0,24.0,580.0
1,2,12.0,0,484.98,484.98,3,0.0,4,7,4,0,67.0,2500.0,522.0,5.0,-9.0,0.0,12.0,37.0,-1.0,43.0,609.0
1,8,4.0,1,126.8,2000.0,0,0.0,2,2,1,0,27.0,1600.0,522.0,18.0,9.0,-7.0,13.0,-0.0,-1.0,-25.0,529.0
1,2,12.0,0,1281.97,1281.97,3,0.0,2,3,4,1,58.0,1800.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,24.0,560.0
1,8,3.0,1,466.57,2000.0,1,2.0,2,2,1,0,40.0,2000.0,522.0,18.0,13.0,-7.0,12.0,-0.0,8.0,7.0,573.0
1,8,4.0,1,353.4,3000.0,4,2.0,2,5,0,1,37.0,2000.0,522.0,18.0,9.0,-7.0,12.0,37.0,8.0,7.0,606.0
1,2,3.0,1,449.99,3000.0,2,2.0,2,1,1,0,41.0,1300.0,522.0,5.0,13.0,-7.0,12.0,-0.0,8.0,7.0,560.0
1,2,10.0,1,483.99,3000.0,3,0.0,2,3,4,0,60.0,1500.0,522.0,5.0,-3.0,-7.0,12.0,37.0,-1.0,24.0,589.0
1,2,12.0,0,505.99,505.99,3,0.0,2,5,4,1,53.0,1800.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,15.0,578.0
1,8,10.0,0,392.98,392.98,0,2.0,2,3,1,0,27.0,1200.0,522.0,18.0,-3.0,0.0,12.0,-0.0,8.0,-25.0,532.0
1,2,12.0,0,663.99,663.99,3,0.0,2,3,4,1,58.0,2000.0,522.0,5.0,-9.0,0.0,9.0,37.0,-1.0,24.0,587.0
1,6,10.0,0,830.0,830.0,3,0.0,4,4,1,1,61.0,1150.0,522.0,5.0,-3.0,0.0,-18.0,37.0,-1.0,24.0,566.0
